response_id,birth_year_roc,gender,city_raw,ideology_raw,party_id_raw,residency_status_raw,cross_strait_preference_raw,identity_category_raw,direct_support_unification,direct_pride_taiwan,direct_pride_china,education_years,employment_status_raw,work_type_raw,current_status_raw,home_language_raw,father_origin_raw,marital_status_raw,social_media_use_raw,follows_political_news_raw,main_news_source_raw,vote_2024_raw,social_class_raw,list_pride_treatment_indicator,list_independence_treatment_indicator,list_pride_treatment_arm,list_independence_treatment_arm,list_pride_taiwan_treatment_count,list_pride_china_treatment_count,list_pride_control_count,list_pride_taiwan_count,list_independence_treatment_count,list_independence_control_count
R_4WMD0kFHNP75cNC,58,男性,嘉義市,自由主義,不知道,本地出生公民,維持現狀，看情形再決定獨立或統一,台灣人,不知道,不知道,不同意,14,沒有工作,,退休,台語,台灣客家人,已婚,一天數個小時,有,報刊雜誌(紙本或網路),中下層,賴清德/蕭美琴,2,1,china_pride_treatment,independence_treatment,,2,,,2,
R_4gndmsnQp0sc3Q4,79,女性,臺北市,接近自由主義,不知道,本地出生公民,永遠維持現狀,兩者都是,不同意,同意,不知道,16,有工作,受雇替別人工作,,國語,台灣客家人,單身,一天數個小時,有,社交媒體,中間層,柯文哲/吳欣盈,1,1,taiwan_pride_treatment,independence_treatment,1,,,1,1,
R_4P7DcpIKf6bu5Fq,71,男性,高雄市,中立,民進黨,本地出生公民,維持現狀，看情形再決定獨立或統一,台灣人,不知道,同意,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,始終保持連線/上網狀態,有,社交媒體,中間層,賴清德/蕭美琴,1,1,taiwan_pride_treatment,independence_treatment,3,,,3,1,
R_4Gp695d0poxH4TD,76,男性,臺南市,中立,不知道,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不知道,22,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中間層,沒有投票/投廢票,0,1,control,independence_treatment,,,2,2,1,
R_4MKK4UL7bN3a8AS,68,女性,臺東縣,中立,不知道,本地出生公民,維持現狀，以後走向統一,中國人,不同意,同意,同意,19,有工作,受雇替別人工作,,國語,台灣閩南人,單身,每天半小時到一個小時,有,廣播電台,中間層,侯友宜/趙少康,0,0,control,control,,,2,2,,1
R_4hoNP0SDpI3uPtL,73,女性,高雄市,接近自由主義,民進黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不同意,17,有工作,自行創業 (自雇),,台語,台灣閩南人,單身,每天半小時到一個小時,有,報刊雜誌(紙本或網路),中上層,賴清德/蕭美琴,0,1,control,independence_treatment,,,2,2,2,
R_4O7yPD0rT3vj6c8,59,女性,高雄市,接近保守主義,國民黨,本地出生公民,維持現狀，以後走向統一,台灣人,不知道,同意,不知道,16,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,電視,中間層,柯文哲/吳欣盈,2,1,china_pride_treatment,independence_treatment,,3,,,3,
R_45zdVjISpMftBM5,32,女性,屏東縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,1,0,taiwan_pride_treatment,control,3,,,3,,2
R_4obWQcEYFCTAVB1,90,女性,高雄市,中立,台灣民眾黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不知道,12,有工作,受雇替別人工作,,國語,台灣閩南人,單身,始終保持連線/上網狀態,沒有,社交媒體,中間層,柯文哲/吳欣盈,2,0,china_pride_treatment,control,,2,,,,1
R_4eDa0ddb6lZ6c9Y,32,女性,新竹縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,2,1,china_pride_treatment,independence_treatment,,3,,,2,
R_4c8GBKptBClugV3,32,女性,屏東縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣客家人,已婚,一天數個小時,有,社交媒體,中間層,賴清德/蕭美琴,0,1,control,independence_treatment,,,3,3,2,
R_40v0orbLDumcr9t,85,男性,臺中市,接近保守主義,綠黨,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都是,不同意,同意,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,報刊雜誌(紙本或網路),中下層,沒有投票/投廢票,2,1,china_pride_treatment,independence_treatment,,2,,,2,
R_4rslBvNu15OzA9r,32,女性,新竹縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中上層,賴清德/蕭美琴,2,0,china_pride_treatment,control,,3,,,,2
R_4WgyddbfpcNsojn,32,女性,新竹縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,2,1,china_pride_treatment,independence_treatment,,3,,,2,
R_4sXcl5N54KWojNH,32,女性,苗栗縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,1,1,taiwan_pride_treatment,independence_treatment,3,,,3,2,
R_41g0voFJHmLpD0Z,32,女性,南投縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中上層,柯文哲/吳欣盈,0,0,control,control,,,3,3,,2
R_4bQ13rkIqoLUZ6f,32,女性,苗栗縣,中立,國民黨,本地出生公民,儘快統一,,不同意,同意,同意,9,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,從來沒有,有,社交媒體,中間層,柯文哲/吳欣盈,2,0,china_pride_treatment,control,,3,,,,2
R_40ouGR6SM0PTZ9G,83,男性,臺北市,中立,台灣民眾黨,本地出生公民,永遠維持現狀,台灣人,不知道,同意,不同意,18,有工作,受雇替別人工作,,國語,台灣閩南人,單身,始終保持連線/上網狀態,有,社交媒體,中下層,柯文哲/吳欣盈,1,0,taiwan_pride_treatment,control,2,,,2,,1
R_43GJ3P0lgCD8ntL,74,男性,高雄市,自由主義,台灣民眾黨,本地出生公民,永遠維持現狀,台灣人,不同意,同意,不同意,14,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,始終保持連線/上網狀態,有,社交媒體,中間層,柯文哲/吳欣盈,1,0,taiwan_pride_treatment,control,4,,,4,,3
R_4oCl6i7Fx2uWlt3,89,男性,臺北市,保守主義,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,不知道,不知道,16,沒有工作,,失業/待業中,國語,台灣的外省人,單身,始終保持連線/上網狀態,有,社交媒體,中間層,柯文哲/吳欣盈,0,0,control,control,,,2,2,,1
R_4In6dhkv680Wne5,88,男性,臺北市,保守主義,台灣民眾黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,電視,中間層,柯文哲/吳欣盈,2,1,china_pride_treatment,independence_treatment,,3,,,3,
R_4pPMdU5zl0JFC6J,68,女性,新竹縣,中立,國民黨,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都是,不同意,同意,不同意,12,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中間層,賴清德/蕭美琴,1,1,taiwan_pride_treatment,independence_treatment,4,,,4,2,
R_4LyJKc2haryUfu1,50,男性,臺中市,自由主義,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,同意,同意,12,有工作,受雇於公家單位,,台語,台灣閩南人,已婚,一天數個小時,有,電視,中上層,侯友宜/趙少康,0,0,control,control,,,3,3,,3
R_4bHIdsVlg8pvcpH,79,女性,高雄市,自由主義,民進黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,單身,始終保持連線/上網狀態,有,電視,中間層,賴清德/蕭美琴,2,1,china_pride_treatment,independence_treatment,,3,,,2,
R_4BbopACQ9IjQoBu,86,男性,桃園市,保守主義,不知道,本地出生公民,維持現狀，以後走向統一,兩者都是,同意,同意,同意,12,有工作,自行創業 (自雇),,國語,台灣閩南人,單身,至少每週一次,有,社交媒體,中下層,賴清德/蕭美琴,0,1,control,independence_treatment,,,2,2,1,
R_4lqpwpi0i9q8EO5,65,男性,桃園市,中立,國民黨,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都是,不同意,不同意,同意,16,有工作,受雇替別人工作,,國語,台灣的外省人,已婚,一天數個小時,有,其他管道,中下層,侯友宜/趙少康,0,0,control,control,,,1,1,,1
R_4GULHn006ZqQrMh,52,男性,臺北市,中立,台灣民眾黨,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都是,不同意,同意,同意,17,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,電視,中間層,侯友宜/趙少康,1,0,taiwan_pride_treatment,control,3,,,3,,1
R_4LAnb4dMcKTrYrL,62,男性,桃園市,中立,不知道,本地出生公民,維持現狀，看情形再決定獨立或統一,兩者都是,不同意,不同意,不同意,16,有工作,受雇替別人工作,,台語,大陸各省市人,已婚,一天數個小時,有,電視,中間層,侯友宜/趙少康,0,0,control,control,,,2,2,,2
R_4GAGcnzq0LnvhYu,84,男性,新竹縣,自由主義,台灣民眾黨,本地出生公民,儘快統一,兩者都是,不同意,同意,同意,13,有工作,受雇替別人工作,,台語,台灣原住民,單身,一天數個小時,有,社交媒體,中下層,柯文哲/吳欣盈,0,0,control,control,,,1,1,,1
R_4BbbY0qDihObFJu,65,男性,高雄市,接近自由主義,民進黨,本地出生公民,儘快宣布獨立,台灣人,同意,同意,不同意,24,沒有工作,,失業/待業中,國語,台灣閩南人,已婚,始終保持連線/上網狀態,有,社交媒體,中間層,賴清德/蕭美琴,1,1,taiwan_pride_treatment,independence_treatment,4,,,4,4,
R_4egYhUcX35FSokR,92,男性,澎湖縣,接近自由主義,不知道,本地出生公民,永遠維持現狀,台灣人,不知道,不知道,不知道,12,沒有工作,,學生,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中間層,侯友宜/趙少康,0,0,control,control,,,1,1,,1
R_4riWND5lbIdmRxy,93,女性,臺中市,接近自由主義,不知道,本地出生公民,維持現狀，以後走向獨立,台灣人,不知道,同意,不同意,13,沒有工作,,學生,國語,台灣閩南人,單身,一天數個小時,有,社交媒體,中下層,沒有投票/投廢票,2,1,china_pride_treatment,independence_treatment,,3,,,2,
R_4zUYrle1gJTUCfY,74,男性,新北市,中立,親民黨,本地出生公民,維持現狀，看情形再決定獨立或統一,台灣人,不知道,不知道,不同意,16,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,其他管道,中間層,沒有投票/投廢票,0,1,control,independence_treatment,,,2,2,1,
R_4HwaUdr11N2aGvO,85,女性,高雄市,中立,民進黨,本地出生公民,維持現狀，以後走向獨立,台灣人,同意,同意,不同意,16,有工作,在家族企業工作,,國語,台灣閩南人,單身,一天數個小時,有,電視,中間層,賴清德/蕭美琴,0,1,control,independence_treatment,,,3,3,4,
R_4F5l0fyGF6nfVbW,84,男性,高雄市,自由主義,新黨,本地出生公民,儘快統一,兩者都是,不同意,同意,同意,13,有工作,受雇替別人工作,,台語,台灣原住民,已婚,一天數個小時,有,廣播電台,中間層,侯友宜/趙少康,0,0,control,control,,,1,1,,2
R_4I9nR4zVA1xA7Df,76,女性,臺北市,接近自由主義,國民黨,本地出生公民,維持現狀，以後走向統一,兩者都是,不同意,不知道,同意,16,有工作,受雇於公家單位,,國語,台灣的外省人,單身,始終保持連線/上網狀態,有,社交媒體,中間層,侯友宜/趙少康,2,1,china_pride_treatment,independence_treatment,,4,,,2,
R_4rAIRhgCfXwEsw8,67,女性,臺南市,中立,不知道,本地出生公民,維持現狀，以後走向統一,台灣人,同意,同意,不同意,12,有工作,受雇替別人工作,,國語,台灣閩南人,已婚,一天數個小時,有,社交媒體,中下層,沒有投票/投廢票,0,0,control,control,,,3,3,,3
