response_id,gender,birth_year,birth_place_raw,birth_place_english,border_region,capital_region,education_nk_raw,education_nk_english,father_party_member_raw,mother_party_member_raw,party_member_raw,year_defection,year_arrived_sk,reason_defection_raw,residence_sk_raw,education_sk_raw,unemployed_raw,retired_raw,political_orientation_raw,party_preference_raw,marital_status_raw,religion_raw,national_identity_strength,direct_sk_pride,direct_nk_pride,list_sk_pride_count,list_nk_pride_count,list_sk_pride_treatment_arm,list_nk_pride_treatment_arm
R_1IyqRgALy75zxfF,여,1977,량강도,Ryanggang Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,예,아니오,2016,2016,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),서울,대학교,아니오,아니오,다소 진보적,더불어민주당,기혼,기독교,5,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1,1,Q71|Q72,Q73|Q75
R_2qkgW9LDeJCQPT6,여,1957,평양,Pyongyang,0,1,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,예,아니오,2005,2005,가족 (자녀 등)에게 더 나은 생활환경을 주려고,서울,전문대학(기술 학교 포함),예,,중도적,잘 모르겠다,기혼,기독교,9,매우 자랑스럽다,전혀 자랑스럽지 않다,1,2,Q71|Q72,Q74|Q75
R_1jdYygRlu0LZgJC,여,1947,함경북도,North Hamgyong Province,1,0,대학교 (3-4년) 졸업,University (3-4 years),예,아니오,아니오,2011,2011,먼저 탈북한 가족을 찾거나 함께 살기 위해,경기도,전문대학(기술 학교 포함),예,,매우 보수적,국민의힘,기혼,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,1,Q71|Q72,Q74|Q75
R_1mgYK2551jRmKXo,여,1932,평안북도,North Pyongan Province,1,0,인민학교 이하,Elementary or below,예,예,예,2002,2002,가족 (자녀 등)에게 더 나은 생활환경을 주려고,경기도,학교를 다시 다니지 않았다,예,,매우 진보적,국민의힘,과부,기독교,9,매우 자랑스럽다,전혀 자랑스럽지 않다,3,2,Q71|Q72,Q74|Q75
R_3kv4szR9KI2RCkK,여,1953,함경북도,North Hamgyong Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,아니오,아니오,1999,2012,식량이 부족해서,서울,학교를 다시 다니지 않았다,예,,매우 보수적,국민의힘,과부,기독교,9,매우 자랑스럽다,전혀 자랑스럽지 않다,1,2,Q70|Q72,Q74|Q75
R_2wGH1snmw6fW3Qm,여,1946,함경북도,North Hamgyong Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",아니오,아니오,예,2005,2005,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),경기도,학교를 다시 다니지 않았다,아니오,예,매우 보수적,국민의힘,기혼,기독교,10,매우 자랑스럽다,별로 자랑스럽지 않다,1,2,Q70|Q72,Q74|Q75
R_1PcHDgyw3w3v27L,여,1975,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,1999,2009,가족 (자녀 등)에게 더 나은 생활환경을 주려고,경기도,전문대학(기술 학교 포함),아니오,아니오,잘 모르겠다,잘 모르겠다,기혼,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,2,1,Q70|Q72,Q74|Q75
R_1eV5i0kAHbr8e9u,여,1930,평안북도,North Pyongan Province,1,0,인민학교 이하,Elementary or below,예,예,예,2005,2005,가족 (자녀 등)에게 더 나은 생활환경을 주려고,경기도,학교를 다시 다니지 않았다,아니오,예,매우 진보적,국민의힘,과부,기독교,10,매우 자랑스럽다,전혀 자랑스럽지 않다,1,4,Q70|Q72,Q73|Q75
R_XZWyyYfZkrQXOKd,여,1965,함경북도,North Hamgyong Province,1,0,"전문대학교 (2년) 졸업, 기술고급중학교","2-year technical college, vocational high school",예,예,아니오,2007,2008,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),서울,학교를 다시 다니지 않았다,아니오,아니오,잘 모르겠다,더불어민주당,이혼,불교,8,어느 정도 자랑스럽다,별로 자랑스럽지 않다,1,3,Q70|Q72,Q74|Q75
R_3LZ4ACZRWQFuNDM,여,1963,함경북도,North Hamgyong Province,1,0,고등중학교 고등반(4-6년) 졸업,Upper secondary (4-6 years),예,아니오,아니오,2004,2009,북조선 체제의 감시통제가 싫어서 (자유를 찾아서),경기도,학교를 다시 다니지 않았다,예,,다소 진보적,더불어민주당,이혼,기독교,10,매우 자랑스럽다,별로 자랑스럽지 않다,3,2,Q70|Q72,Q74|Q75
